rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
237,frame_0198.jpg,79.2,0.3266,0.4023,0.125,0.44,3,1,False,False
238,frame_0085.jpg,34.0,0.3233,0.3476,0.125,0.56,6,1,False,False
239,frame_0220.jpg,88.0,0.3212,0.4554,0.125,0.28,7,1,False,False
240,frame_0197.jpg,78.8,0.32,0.405,0.125,0.4,2,1,False,False
241,frame_0213.jpg,85.2,0.3152,0.3313,0.125,0.56,5,1,False,False
242,frame_0218.jpg,87.2,0.3044,0.4647,0.0,0.36,7,0,False,False
243,frame_0084.jpg,33.6,0.3006,0.2863,0.125,0.6,6,1,False,False
244,frame_0101.jpg,40.4,0.3004,0.4189,0.25,0.08,6,2,False,False
245,frame_0383.jpg,153.2,0.297,0.396,0.25,0.12,6,2,False,False
246,frame_0179.jpg,71.6,0.2897,0.4563,0.125,0.12,9,1,False,False
247,frame_0310.jpg,124.0,0.2871,0.3922,0.25,0.08,9,2,False,False
248,frame_0102.jpg,40.8,0.2765,0.355,0.25,0.12,6,2,False,False
249,frame_0111.jpg,44.4,0.2628,0.3866,0.125,0.16,6,1,False,False
250,frame_0272.jpg,108.8,0.2575,0.408,0.125,0.08,6,1,False,False
251,frame_0313.jpg,125.2,0.2474,0.4038,0.125,0.04,5,1,False,False
252,frame_0311.jpg,124.4,0.2467,0.3274,0.25,0.04,7,2,False,False
253,frame_0271.jpg,108.4,0.2292,0.3673,0.125,0.04,5,1,False,False
254,frame_0190.jpg,76.0,0.217,0.3109,0.125,0.12,7,1,False,False
255,frame_0224.jpg,89.6,0.2077,0.3673,0.0,0.12,8,0,False,False
256,frame_0110.jpg,44.0,0.1564,0.2648,0.0,0.12,7,0,False,False
